round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,update_norm,client_accuracies,keep_rate
1,0.3029,1.9738288391381502,0.304125,1.9707491155713797,0.298,1.9861477334052324,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.314, 0.302, 0.268, 0.282, 0.272, 0.312, 0.262, 0.32, 0.336, 0.326, 0.296, 0.32, 0.268, 0.322, 0.262, 0.324, 0.322, 0.31, 0.322, 0.318]",1.0
2,0.3788,1.7326708618551492,0.38175,1.7276789755560458,0.367,1.7526384070515633,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.336, 0.378, 0.4, 0.38, 0.38, 0.406, 0.368, 0.4, 0.398, 0.392, 0.38, 0.406, 0.36, 0.348, 0.332, 0.388, 0.374, 0.384, 0.382, 0.384]",1.0
3,0.428,1.5703938987106085,0.432125,1.5641350862570107,0.4115,1.5954291485249996,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.454, 0.428, 0.462, 0.396, 0.45, 0.43, 0.424, 0.414, 0.418, 0.418, 0.464, 0.414, 0.392, 0.434, 0.422, 0.428, 0.448, 0.436, 0.42, 0.408]",1.0
4,0.4734,1.4688003893941641,0.47825,1.4627570579759777,0.454,1.4929737150669098,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.468, 0.47, 0.45, 0.45, 0.448, 0.468, 0.446, 0.476, 0.43, 0.49, 0.44, 0.48, 0.48, 0.488, 0.524, 0.496, 0.498, 0.48, 0.474, 0.512]",1.0
5,0.5007,1.3862839996814729,0.5055,1.380474095698446,0.4815,1.4095236156135798,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.462, 0.51, 0.522, 0.554, 0.478, 0.512, 0.47, 0.512, 0.53, 0.45, 0.522, 0.488, 0.516, 0.514, 0.492, 0.514, 0.468, 0.506, 0.486, 0.508]",1.0
6,0.5255,1.3301499903202056,0.527875,1.3250810340978205,0.516,1.3504258152097464,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.532, 0.544, 0.536, 0.518, 0.51, 0.528, 0.542, 0.53, 0.504, 0.532, 0.504, 0.524, 0.496, 0.528, 0.542, 0.542, 0.534, 0.568, 0.462, 0.534]",1.0
7,0.5414,1.2806590307503938,0.54325,1.2756896470673382,0.534,1.3005365654826164,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.546, 0.516, 0.554, 0.558, 0.538, 0.548, 0.49, 0.544, 0.536, 0.6, 0.514, 0.55, 0.56, 0.52, 0.552, 0.562, 0.532, 0.556, 0.542, 0.51]",1.0
8,0.558,1.235122854821384,0.561125,1.231134758098051,0.5455,1.251075241714716,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.49, 0.54, 0.538, 0.542, 0.556, 0.578, 0.612, 0.568, 0.564, 0.578, 0.556, 0.576, 0.568, 0.586, 0.526, 0.564, 0.564, 0.562, 0.56, 0.532]",1.0
9,0.5774,1.1922134825959803,0.57875,1.188647204078734,0.572,1.2064785966649652,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.578, 0.572, 0.588, 0.594, 0.566, 0.56, 0.552, 0.624, 0.564, 0.54, 0.59, 0.61, 0.52, 0.592, 0.572, 0.58, 0.59, 0.588, 0.582, 0.586]",1.0
10,0.5945,1.1506494121626019,0.596875,1.1475642286241055,0.585,1.162990146316588,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.594, 0.582, 0.572, 0.598, 0.562, 0.602, 0.608, 0.604, 0.582, 0.578, 0.636, 0.602, 0.6, 0.604, 0.644, 0.598, 0.592, 0.546, 0.594, 0.592]",1.0
