round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,update_norm,client_accuracies,keep_rate
1,0.08575,4.05045109462738,0.08575,4.05045109462738,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.13875, 0.0725, 0.0, 0.09125, 0.0775, 0.39375, 0.0, 0.0, 0.0, 0.0, 0.20125, 0.0, 0.0225, 0.38875, 0.23625, 0.0, 0.0225, 0.0, 0.0, 0.07]",1.0
2,0.120125,3.812373830318451,0.120125,3.812373830318451,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.12, 0.0, 0.18625, 0.0, 0.2925, 0.3225, 0.0, 0.0, 0.0, 0.4175, 0.0, 0.5625, 0.0, 0.01875, 0.0, 0.105, 0.0, 0.0, 0.3775, 0.0]",1.0
3,0.136,3.416998951435089,0.136,3.416998951435089,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.3275, 0.005, 0.40125, 0.52625, 0.02875, 0.0025, 0.0, 0.145, 0.0, 0.0, 0.52, 0.0, 0.0, 0.0, 0.0, 0.425, 0.17, 0.16125, 0.0075]",1.0
4,0.3770625,3.132827657699585,0.3770625,3.132827657699585,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.10375, 0.2075, 0.59, 0.35375, 0.6125, 0.0, 0.59375, 0.55125, 0.0, 0.0, 0.34, 0.43625, 0.73125, 0.62875, 0.5875, 0.68125, 0.23875, 0.0, 0.53375, 0.35125]",1.0
5,0.411,2.9422579550743104,0.411,2.9422579550743104,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4925, 0.6875, 0.77375, 0.4075, 0.0, 0.67625, 0.63875, 0.0, 0.25875, 0.48, 0.27125, 0.0, 0.40625, 0.60625, 0.37625, 0.37375, 0.68625, 0.6275, 0.0, 0.4575]",1.0
6,0.4563125,2.8122010748386383,0.4563125,2.8122010748386383,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.7125, 0.77125, 0.42375, 0.0, 0.48, 0.0, 0.62375, 0.6375, 0.615, 0.34375, 0.0, 0.42875, 0.60375, 0.73, 0.42625, 0.0, 0.67, 0.49125, 0.36875, 0.8]",1.0
7,0.468,2.703500521659851,0.468,2.703500521659851,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.65375, 0.5375, 0.6675, 0.365, 0.50375, 0.0, 0.70625, 0.79375, 0.67625, 0.48375, 0.61, 0.0, 0.7475, 0.4, 0.0, 0.39375, 0.51, 0.74375, 0.5675]",1.0
8,0.4911875,2.6155539751052856,0.4911875,2.6155539751052856,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.625, 0.71625, 0.0, 0.51375, 0.505, 0.75, 0.7825, 0.0, 0.48875, 0.44875, 0.6025, 0.62625, 0.5275, 0.7675, 0.38125, 0.77875, 0.0, 0.0, 0.48625, 0.82375]",1.0
9,0.502125,2.543066566467285,0.502125,2.543066566467285,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.69125, 0.5275, 0.0, 0.64125, 0.0, 0.53625, 0.83625, 0.76375, 0.68125, 0.68625, 0.36125, 0.0, 0.63375, 0.77375, 0.42, 0.4775, 0.62875, 0.76625, 0.0, 0.6175]",1.0
10,0.5121875,2.497675610661507,0.5121875,2.497675610661507,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.65625, 0.79875, 0.0, 0.0, 0.435, 0.62375, 0.52125, 0.83375, 0.77625, 0.7975, 0.60875, 0.76125, 0.64, 0.0, 0.0, 0.535, 0.4275, 0.51375, 0.50625, 0.80875]",1.0
